record size ,  ideal throughput(records/sec) ,  real throughput(records/sec) ,  speed(MB/sec) ,  average latency(ms) ,  max latency(ms)
10000, 1000 ,  570.701335, 5.44, 3504.07, 4096.00
10000, 100 ,  99.996600, 0.95, 4.59, 405.00
10000, 2000 ,  554.763477, 5.29, 3640.35, 4133.00
10000, 250 ,  249.988751, 2.38, 5.34, 449.00
10000, 4000 ,  580.356107, 5.53, 3481.58, 4046.00
10000, 500 ,  499.945006, 4.77, 19.34, 381.00
10000, 8000 ,  549.532073, 5.24, 3678.68, 4055.00
1000, 1000 ,  999.750062, 0.95, 5.21, 408.00
1000, 100 ,  99.998700, 0.10, 4.27, 350.00
1000, 2000 ,  1999.080423, 1.91, 5.26, 410.00
1000, 250 ,  249.985626, 0.24, 4.63, 381.00
1000, 4000 ,  3996.802558, 3.81, 6.01, 389.00
1000, 500 ,  499.940007, 0.48, 3.84, 370.00
1000, 8000 ,  6899.882702, 6.58, 1025.15, 2088.00
100, 1000 ,  999.710084, 0.10, 4.86, 365.00
100, 100 ,  99.998400, 0.01, 5.25, 391.00
100, 2000 ,  1999.120387, 0.19, 4.05, 351.00
100, 250 ,  249.986876, 0.02, 4.04, 371.00
100, 4000 ,  3994.567388, 0.38, 4.87, 362.00
100, 500 ,  499.947506, 0.05, 4.54, 370.00
100, 8000 ,  7984.669435, 0.76, 4.53, 403.00
30000, 1000 ,  272.495156, 7.80, 4061.83, 4660.00
30000, 100 ,  99.998600, 2.86, 5.61, 359.00
30000, 2000 ,  289.522751, 8.28, 3824.68, 4702.00
30000, 250 ,  249.984376, 7.15, 100.49, 398.00
30000, 4000 ,  252.309897, 7.22, 4389.98, 5100.00
30000, 500 ,  263.729076, 7.55, 4179.37, 4699.00
30000, 8000 ,  274.935253, 7.87, 4029.81, 5195.00
5000, 1000 ,  999.660116, 4.77, 17.09, 433.00
5000, 100 ,  99.999100, 0.48, 4.75, 434.00
5000, 2000 ,  1317.661941, 6.28, 4223.26, 5184.00
5000, 250 ,  249.987501, 1.19, 4.89, 364.00
5000, 4000 ,  1349.691595, 6.44, 4334.04, 4886.00
5000, 500 ,  499.950005, 2.38, 5.56, 370.00
5000, 8000 ,  1353.088424, 6.45, 4371.40, 5115.00
